"BARRIO","DISTRITO","NACION","HOMBRES","MUJERES","TOTAL"
"COLORES, ENTREPARQUES","ESTE","TOTAL POBLACION",373,417,790
"CONSOLACION","NORTE","ESPAÑOLES",43,67,110
"CONSOLACION","NORTE","EXTRANJEROS",1,1,2
"CONSOLACION","NORTE","TOTAL POBLACION",44,68,112
"CRUZ ROJA-CAPUCHINOS","MACARENA","ESPAÑOLES",41,66,107
"CRUZ ROJA-CAPUCHINOS","MACARENA","EXTRANJEROS",17,11,28
"CRUZ ROJA-CAPUCHINOS","MACARENA","NO CONSTA",0,2,2
"CRUZ ROJA-CAPUCHINOS","MACARENA","TOTAL POBLACION",58,79,137
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","ESPAÑOLES",55,41,96
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","EXTRANJEROS",8,8,16
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","TOTAL POBLACION",63,49,112
"EL CARMEN","MACARENA","ESPAÑOLES",15,17,32
"EL CARMEN","MACARENA","EXTRANJEROS",2,3,5
"EL CARMEN","MACARENA","TOTAL POBLACION",17,20,37
"EL CEREZO","MACARENA","ESPAÑOLES",31,42,73
"EL CEREZO","MACARENA","EXTRANJEROS",22,30,52
"EL CEREZO","MACARENA","TOTAL POBLACION",53,72,125
"EL CERRO","CERRO-AMATE","ESPAÑOLES",111,124,235
"EL CERRO","CERRO-AMATE","EXTRANJEROS",31,16,47
"EL CERRO","CERRO-AMATE","TOTAL POBLACION",142,140,282
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","ESPAÑOLES",45,49,94
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","EXTRANJEROS",8,8,16
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","TOTAL POBLACION",53,57,110
"EL GORDILLO","NORTE","ESPAÑOLES",11,10,21
"EL GORDILLO","NORTE","EXTRANJEROS",3,0,3
"EL GORDILLO","NORTE","TOTAL POBLACION",14,10,24
"EL JUNCAL-HISPALIS","SUR","ESPAÑOLES",57,50,107
"EL JUNCAL-HISPALIS","SUR","EXTRANJEROS",9,11,20
"EL JUNCAL-HISPALIS","SUR","TOTAL POBLACION",66,61,127
"EL PLANTINAR","SUR","ESPAÑOLES",57,52,109
"EL PLANTINAR","SUR","EXTRANJEROS",5,6,11
"EL PLANTINAR","SUR","TOTAL POBLACION",62,58,120
"EL PORVENIR","SUR","ESPAÑOLES",75,68,143
"EL PORVENIR","SUR","EXTRANJEROS",4,13,17
"EL PORVENIR","SUR","TOTAL POBLACION",79,81,160
"EL PRADO-PARQUE MARIA LUISA","SUR","ESPAÑOLES",16,15,31
"EL PRADO-PARQUE MARIA LUISA","SUR","TOTAL POBLACION",16,15,31
"EL ROCIO","MACARENA","ESPAÑOLES",29,25,54
"EL ROCIO","MACARENA","EXTRANJEROS",13,15,28
"EL ROCIO","MACARENA","TOTAL POBLACION",42,40,82
"EL TARDON-EL CARMEN","TRIANA","ESPAÑOLES",98,100,198
"EL TARDON-EL CARMEN","TRIANA","EXTRANJEROS",13,15,28
"EL TARDON-EL CARMEN","TRIANA","NO CONSTA",1,0,1
"EL TARDON-EL CARMEN","TRIANA","TOTAL POBLACION",112,115,227
"EL TORREJON","MACARENA","ESPAÑOLES",8,10,18
"EL TORREJON","MACARENA","EXTRANJEROS",2,4,6
"EL TORREJON","MACARENA","TOTAL POBLACION",10,14,24
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","ESPAÑOLES",122,146,268
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","EXTRANJEROS",11,7,18
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","NO CONSTA",0,1,1
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","TOTAL POBLACION",133,154,287
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","ESPAÑOLES",37,63,100
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","EXTRANJEROS",3,5,8
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","TOTAL POBLACION",40,68,108
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","ESPAÑOLES",16,23,39
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","EXTRANJEROS",4,4,8
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","TOTAL POBLACION",20,27,47
"FERIA","CASCO ANTIGUO","ESPAÑOLES",84,98,182
"FERIA","CASCO ANTIGUO","EXTRANJEROS",17,16,33
"FERIA","CASCO ANTIGUO","TOTAL POBLACION",101,114,215
"GIRALDA SUR","SUR","ESPAÑOLES",37,43,80
"GIRALDA SUR","SUR","EXTRANJEROS",2,9,11
"GIRALDA SUR","SUR","TOTAL POBLACION",39,52,91
"HELIOPOLIS","BELLAVISTA-LA PALMERA","ESPAÑOLES",27,32,59
"HELIOPOLIS","BELLAVISTA-LA PALMERA","EXTRANJEROS",2,1,3
"HELIOPOLIS","BELLAVISTA-LA PALMERA","TOTAL POBLACION",29,33,62
"HERMANDADES-LA CARRASCA","MACARENA","ESPAÑOLES",62,62,124
"HERMANDADES-LA CARRASCA","MACARENA","EXTRANJEROS",22,24,46
"HERMANDADES-LA CARRASCA","MACARENA","TOTAL POBLACION",84,86,170
"HUERTA DE LA SALUD","SUR","ESPAÑOLES",56,47,103
"HUERTA DE LA SALUD","SUR","EXTRANJEROS",0,3,3
"HUERTA DE LA SALUD","SUR","TOTAL POBLACION",56,50,106
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","ESPAÑOLES",53,60,113
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","EXTRANJEROS",9,11,20
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","TOTAL POBLACION",62,71,133
"HUERTA DEL PILAR","NERVION","ESPAÑOLES",82,76,158
"HUERTA DEL PILAR","NERVION","EXTRANJEROS",2,5,7
"HUERTA DEL PILAR","NERVION","TOTAL POBLACION",84,81,165
"JUAN XXIII","CERRO-AMATE","ESPAÑOLES",73,71,144
"JUAN XXIII","CERRO-AMATE","EXTRANJEROS",5,6,11
"JUAN XXIII","CERRO-AMATE","TOTAL POBLACION",78,77,155
"LA BACHILLERA","NORTE","ESPAÑOLES",12,17,29
"LA BACHILLERA","NORTE","EXTRANJEROS",1,1,2
"LA BACHILLERA","NORTE","TOTAL POBLACION",13,18,31
"LA BARZOLA","MACARENA","ESPAÑOLES",12,6,18
"LA BARZOLA","MACARENA","EXTRANJEROS",1,2,3
"LA BARZOLA","MACARENA","TOTAL POBLACION",13,8,21
"LA BUHAIRA","NERVION","ESPAÑOLES",109,106,215
"LA BUHAIRA","NERVION","EXTRANJEROS",6,8,14
"LA BUHAIRA","NERVION","TOTAL POBLACION",115,114,229
"LA CALZADA","NERVION","ESPAÑOLES",38,43,81
"LA CALZADA","NERVION","EXTRANJEROS",6,5,11
"LA CALZADA","NERVION","TOTAL POBLACION",44,48,92
"LA CORZA","S. PABLO-STA. JUSTA","ESPAÑOLES",6,9,15
"LA CORZA","S. PABLO-STA. JUSTA","TOTAL POBLACION",6,9,15
"LA FLORIDA","NERVION","ESPAÑOLES",23,46,69
"LA FLORIDA","NERVION","EXTRANJEROS",4,2,6
"LA FLORIDA","NERVION","TOTAL POBLACION",27,48,75
"LA OLIVA","SUR","ESPAÑOLES",54,36,90
"LA OLIVA","SUR","EXTRANJEROS",17,16,33
"LA OLIVA","SUR","TOTAL POBLACION",71,52,123
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","ESPAÑOLES",16,21,37
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","EXTRANJEROS",8,13,21
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","TOTAL POBLACION",24,34,58
"LA PAZ-LAS GOLONDRINAS","MACARENA","ESPAÑOLES",40,34,74
"LA PAZ-LAS GOLONDRINAS","MACARENA","EXTRANJEROS",5,5,10
"LA PAZ-LAS GOLONDRINAS","MACARENA","TOTAL POBLACION",45,39,84
"LA PLATA","CERRO-AMATE","ESPAÑOLES",138,135,273
"LA PLATA","CERRO-AMATE","EXTRANJEROS",47,44,91
"LA PLATA","CERRO-AMATE","TOTAL POBLACION",185,179,364
"LAS ALMENAS","NORTE","ESPAÑOLES",21,23,44
"LAS ALMENAS","NORTE","EXTRANJEROS",1,4,5
"LAS ALMENAS","NORTE","TOTAL POBLACION",22,27,49
"LAS AVENIDAS","MACARENA","ESPAÑOLES",29,31,60
"LAS AVENIDAS","MACARENA","EXTRANJEROS",10,6,16
"LAS AVENIDAS","MACARENA","TOTAL POBLACION",39,37,76
"LAS HUERTAS","S. PABLO-STA. JUSTA","ESPAÑOLES",36,40,76
"LAS HUERTAS","S. PABLO-STA. JUSTA","EXTRANJEROS",1,3,4
"LAS HUERTAS","S. PABLO-STA. JUSTA","TOTAL POBLACION",37,43,80
"LAS LETANIAS","SUR","ESPAÑOLES",35,32,67
"LAS LETANIAS","SUR","EXTRANJEROS",7,8,15
"LAS LETANIAS","SUR","TOTAL POBLACION",42,40,82
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","ESPAÑOLES",31,28,59
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","EXTRANJEROS",1,0,1
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","TOTAL POBLACION",32,28,60
"LEON XIII-LOS NARANJOS","MACARENA","ESPAÑOLES",60,65,125
"LEON XIII-LOS NARANJOS","MACARENA","EXTRANJEROS",10,6,16
"LEON XIII-LOS NARANJOS","MACARENA","TOTAL POBLACION",70,71,141
"LOS ARCOS","NORTE","ESPAÑOLES",21,29,50
"LOS ARCOS","NORTE","EXTRANJEROS",2,1,3
"LOS ARCOS","NORTE","TOTAL POBLACION",23,30,53
"LOS CARTEROS","NORTE","ESPAÑOLES",7,16,23
"LOS CARTEROS","NORTE","EXTRANJEROS",1,3,4
"LOS CARTEROS","NORTE","TOTAL POBLACION",8,19,27
"LOS PAJAROS","CERRO-AMATE","ESPAÑOLES",138,152,290
"LOS PAJAROS","CERRO-AMATE","EXTRANJEROS",52,52,104
"LOS PAJAROS","CERRO-AMATE","NO CONSTA",1,0,1
"LOS PAJAROS","CERRO-AMATE","TOTAL POBLACION",191,204,395
"LOS PRINCIPES-LA FONTANILLA","MACARENA","ESPAÑOLES",67,66,133
"LOS PRINCIPES-LA FONTANILLA","MACARENA","EXTRANJEROS",5,8,13
"LOS PRINCIPES-LA FONTANILLA","MACARENA","TOTAL POBLACION",72,74,146
"LOS REMEDIOS","LOS REMEDIOS","ESPAÑOLES",261,264,525
"LOS REMEDIOS","LOS REMEDIOS","EXTRANJEROS",22,47,69
"LOS REMEDIOS","LOS REMEDIOS","TOTAL POBLACION",283,311,594
"MACARENA TRES HUERTAS-MACARENA CINCO","MACARENA","ESPAÑOLES",19,19,38
"MACARENA TRES HUERTAS-MACARENA CINCO","MACARENA","EXTRANJEROS",0,1,1
"MACARENA TRES HUERTAS-MACARENA CINCO","MACARENA","TOTAL POBLACION",19,20,39
"MUSEO","CASCO ANTIGUO","ESPAÑOLES",68,52,120
"MUSEO","CASCO ANTIGUO","EXTRANJEROS",14,17,31
"MUSEO","CASCO ANTIGUO","TOTAL POBLACION",82,69,151
"NERVION","NERVION","ESPAÑOLES",154,160,314
"NERVION","NERVION","EXTRANJEROS",15,27,42
"NERVION","NERVION","TOTAL POBLACION",169,187,356
"PALACIO DE CONGRESOS, URBADIEZ, ENTREPUENTES","ESTE","ESPAÑOLES",150,141,291
"PALACIO DE CONGRESOS, URBADIEZ, ENTREPUENTES","ESTE","EXTRANJEROS",53,42,95
"PALACIO DE CONGRESOS, URBADIEZ, ENTREPUENTES","ESTE","TOTAL POBLACION",203,183,386
"PALMETE","CERRO-AMATE","ESPAÑOLES",158,122,280
"PALMETE","CERRO-AMATE","EXTRANJEROS",23,16,39
"PALMETE","CERRO-AMATE","TOTAL POBLACION",181,138,319
"PARQUE ALCOSA-JARDINES DEL ED¿N","ESTE","ESPAÑOLES",210,187,397
"PARQUE ALCOSA-JARDINES DEL ED¿N","ESTE","EXTRANJEROS",21,14,35
"PARQUE ALCOSA-JARDINES DEL ED¿N","ESTE","TOTAL POBLACION",231,201,432
"PARQUE ALCOSA-JARDINES DEL EDEN","ESTE","ESPAÑOLES",4,3,7
"PARQUE ALCOSA-JARDINES DEL EDEN","ESTE","TOTAL POBLACION",4,3,7
"PEDRO SALVADOR-LAS PALMERITAS-GUADAIRA","BELLAVISTA-LA PALMERA","ESPAÑOLES",34,24,58
"PEDRO SALVADOR-LAS PALMERITAS-GUADAIRA","BELLAVISTA-LA PALMERA","EXTRANJEROS",3,3,6
"PEDRO SALVADOR-LAS PALMERITAS-GUADAIRA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",37,27,64
"PINO FLORES","MACARENA","ESPAÑOLES",30,34,64
"PINO FLORES","MACARENA","EXTRANJEROS",3,1,4
"PINO FLORES","MACARENA","TOTAL POBLACION",33,35,68
"PIO XII","MACARENA","ESPAÑOLES",43,35,78
"PIO XII","MACARENA","EXTRANJEROS",7,10,17
"PIO XII","MACARENA","TOTAL POBLACION",50,45,95
"POLIGONO NORTE","MACARENA","ESPAÑOLES",69,44,113
"POLIGONO NORTE","MACARENA","EXTRANJEROS",10,13,23
"POLIGONO NORTE","MACARENA","TOTAL POBLACION",79,57,136
"POLIGONO SUR","SUR","ESPAÑOLES",199,209,408
"POLIGONO SUR","SUR","EXTRANJEROS",18,14,32
"POLIGONO SUR","SUR","TOTAL POBLACION",217,223,440
"RETIRO OBRERO","MACARENA","ESPAÑOLES",18,15,33
"RETIRO OBRERO","MACARENA","EXTRANJEROS",3,2,5
"RETIRO OBRERO","MACARENA","TOTAL POBLACION",21,17,38
"ROCHELAMBERT","CERRO-AMATE","ESPAÑOLES",56,82,138
"ROCHELAMBERT","CERRO-AMATE","EXTRANJEROS",14,16,30
"ROCHELAMBERT","CERRO-AMATE","NO CONSTA",0,1,1
"ROCHELAMBERT","CERRO-AMATE","TOTAL POBLACION",70,99,169
"SAN BARTOLOME","CASCO ANTIGUO","ESPAÑOLES",59,65,124
"SAN BARTOLOME","CASCO ANTIGUO","EXTRANJEROS",10,8,18
"SAN BARTOLOME","CASCO ANTIGUO","TOTAL POBLACION",69,73,142
"SAN BERNARDO","NERVION","ESPAÑOLES",32,25,57
"SAN BERNARDO","NERVION","EXTRANJEROS",3,0,3
"SAN BERNARDO","NERVION","TOTAL POBLACION",35,25,60
"SAN CARLOS-TARTESSOS","S. PABLO-STA. JUSTA","ESPAÑOLES",33,47,80
"SAN CARLOS-TARTESSOS","S. PABLO-STA. JUSTA","EXTRANJEROS",2,5,7
"SAN CARLOS-TARTESSOS","S. PABLO-STA. JUSTA","NO CONSTA",0,1,1
"SAN CARLOS-TARTESSOS","S. PABLO-STA. JUSTA","TOTAL POBLACION",35,53,88
"SAN DIEGO","NORTE","ESPAÑOLES",42,39,81
"SAN DIEGO","NORTE","EXTRANJEROS",1,0,1
"SAN DIEGO","NORTE","TOTAL POBLACION",43,39,82
"SAN GIL","CASCO ANTIGUO","ESPAÑOLES",95,79,174
"SAN GIL","CASCO ANTIGUO","EXTRANJEROS",17,14,31
"SAN GIL","CASCO ANTIGUO","TOTAL POBLACION",112,93,205
"SAN JERONIMO","NORTE","ESPAÑOLES",125,99,224
"SAN JERONIMO","NORTE","EXTRANJEROS",15,15,30
"SAN JERONIMO","NORTE","TOTAL POBLACION",140,114,254
"SAN JOSE OBRERO","S. PABLO-STA. JUSTA","ESPAÑOLES",95,93,188
"SAN JOSE OBRERO","S. PABLO-STA. JUSTA","EXTRANJEROS",15,15,30
"SAN JOSE OBRERO","S. PABLO-STA. JUSTA","TOTAL POBLACION",110,108,218
"SAN JULIAN","CASCO ANTIGUO","ESPAÑOLES",75,79,154
"SAN JULIAN","CASCO ANTIGUO","EXTRANJEROS",11,8,19
"SAN JULIAN","CASCO ANTIGUO","TOTAL POBLACION",86,87,173
"SAN LORENZO","CASCO ANTIGUO","ESPAÑOLES",57,59,116
"SAN LORENZO","CASCO ANTIGUO","EXTRANJEROS",7,6,13
"SAN LORENZO","CASCO ANTIGUO","TOTAL POBLACION",64,65,129
"SAN MATIAS","NORTE","ESPAÑOLES",10,7,17
"SAN MATIAS","NORTE","TOTAL POBLACION",10,7,17
"SAN PABLO A Y B","S. PABLO-STA. JUSTA","ESPAÑOLES",65,78,143
"SAN PABLO A Y B","S. PABLO-STA. JUSTA","EXTRANJEROS",6,9,15
"SAN PABLO A Y B","S. PABLO-STA. JUSTA","TOTAL POBLACION",71,87,158
"SAN PABLO C","S. PABLO-STA. JUSTA","ESPAÑOLES",28,30,58
"SAN PABLO C","S. PABLO-STA. JUSTA","EXTRANJEROS",6,3,9
"SAN PABLO C","S. PABLO-STA. JUSTA","TOTAL POBLACION",34,33,67
"SAN PABLO D Y E","S. PABLO-STA. JUSTA","ESPAÑOLES",63,52,115
"SAN PABLO D Y E","S. PABLO-STA. JUSTA","EXTRANJEROS",7,10,17
"SAN PABLO D Y E","S. PABLO-STA. JUSTA","TOTAL POBLACION",70,62,132
"SAN ROQUE","NERVION","ESPAÑOLES",42,35,77
"SAN ROQUE","NERVION","EXTRANJEROS",3,8,11
"SAN ROQUE","NERVION","TOTAL POBLACION",45,43,88
"SAN VICENTE","CASCO ANTIGUO","ESPAÑOLES",67,61,128
"SAN VICENTE","CASCO ANTIGUO","EXTRANJEROS",6,14,20
"SAN VICENTE","CASCO ANTIGUO","TOTAL POBLACION",73,75,148
"SANTA AURELIA-CANTABRICO-ATLANTICO-LA ROMERIA","CERRO-AMATE","ESPAÑOLES",108,108,216
"SANTA AURELIA-CANTABRICO-ATLANTICO-LA ROMERIA","CERRO-AMATE","EXTRANJEROS",27,34,61
"SANTA AURELIA-CANTABRICO-ATLANTICO-LA ROMERIA","CERRO-AMATE","TOTAL POBLACION",135,142,277
"SANTA CATALINA","CASCO ANTIGUO","ESPAÑOLES",47,50,97
"SANTA CATALINA","CASCO ANTIGUO","EXTRANJEROS",2,8,10
"SANTA CATALINA","CASCO ANTIGUO","TOTAL POBLACION",49,58,107
"SANTA CLARA","S. PABLO-STA. JUSTA","ESPAÑOLES",85,78,163
"SANTA CLARA","S. PABLO-STA. JUSTA","EXTRANJEROS",5,6,11
"SANTA CLARA","S. PABLO-STA. JUSTA","TOTAL POBLACION",90,84,174
"SANTA CRUZ","CASCO ANTIGUO","ESPAÑOLES",25,41,66
"SANTA CRUZ","CASCO ANTIGUO","EXTRANJEROS",7,4,11
"SANTA CRUZ","CASCO ANTIGUO","TOTAL POBLACION",32,45,77
"SANTA JUSTA Y RUFINA-PARQUE MIRAFLORES","MACARENA","ESPAÑOLES",10,17,27
"SANTA JUSTA Y RUFINA-PARQUE MIRAFLORES","MACARENA","EXTRANJEROS",2,6,8
"SANTA JUSTA Y RUFINA-PARQUE MIRAFLORES","MACARENA","TOTAL POBLACION",12,23,35
"SANTA MARIA DE ORDAS-SAN NICOLAS","MACARENA","ESPAÑOLES",31,26,57
"SANTA MARIA DE ORDAS-SAN NICOLAS","MACARENA","EXTRANJEROS",6,5,11
"SANTA MARIA DE ORDAS-SAN NICOLAS","MACARENA","TOTAL POBLACION",37,31,68
"SECTOR SUR-LA PALMERA-REINA MERCEDES","BELLAVISTA-LA PALMERA","ESPAÑOLES",71,85,156
"SECTOR SUR-LA PALMERA-REINA MERCEDES","BELLAVISTA-LA PALMERA","EXTRANJEROS",4,13,17
"SECTOR SUR-LA PALMERA-REINA MERCEDES","BELLAVISTA-LA PALMERA","NO CONSTA",0,1,1
"SECTOR SUR-LA PALMERA-REINA MERCEDES","BELLAVISTA-LA PALMERA","TOTAL POBLACION",75,99,174
"TABLADA","LOS REMEDIOS","ESPAÑOLES",42,27,69
"TABLADA","LOS REMEDIOS","EXTRANJEROS",0,1,1
"TABLADA","LOS REMEDIOS","TOTAL POBLACION",42,28,70
"TABLADILLA-LA ESTRELLA","SUR","ESPAÑOLES",61,60,121
"TABLADILLA-LA ESTRELLA","SUR","EXTRANJEROS",3,3,6
"TABLADILLA-LA ESTRELLA","SUR","TOTAL POBLACION",64,63,127
"TIRO DE LINEA-SANTA GENOVEVA","SUR","ESPAÑOLES",59,73,132
"TIRO DE LINEA-SANTA GENOVEVA","SUR","EXTRANJEROS",5,4,9
"TIRO DE LINEA-SANTA GENOVEVA","SUR","TOTAL POBLACION",64,77,141
"TORREBLANCA ","ESTE","ESPAÑOLES",196,193,389
"TORREBLANCA ","ESTE","EXTRANJEROS",29,18,47
"TORREBLANCA ","ESTE","NO CONSTA",1,0,1
"TORREBLANCA ","ESTE","TOTAL POBLACION",226,211,437
"TRIANA CASCO ANTIGUO","TRIANA","ESPAÑOLES",98,92,190
"TRIANA CASCO ANTIGUO","TRIANA","EXTRANJEROS",15,19,34
"TRIANA CASCO ANTIGUO","TRIANA","TOTAL POBLACION",113,111,224
"TRIANA ESTE","TRIANA","ESPAÑOLES",146,161,307
"TRIANA ESTE","TRIANA","EXTRANJEROS",27,43,70
"TRIANA ESTE","TRIANA","TOTAL POBLACION",173,204,377
"TRIANA OESTE","TRIANA","ESPAÑOLES",186,164,350
"TRIANA OESTE","TRIANA","EXTRANJEROS",9,23,32
"TRIANA OESTE","TRIANA","TOTAL POBLACION",195,187,382
"VALDEZORRAS","NORTE","ESPAÑOLES",30,32,62
"VALDEZORRAS","NORTE","EXTRANJEROS",4,5,9
"VALDEZORRAS","NORTE","TOTAL POBLACION",34,37,71
"VILLEGAS","MACARENA","ESPAÑOLES",36,51,87
"VILLEGAS","MACARENA","EXTRANJEROS",11,11,22
"VILLEGAS","MACARENA","TOTAL POBLACION",47,62,109
"ZODIACO","S. PABLO-STA. JUSTA","ESPAÑOLES",13,18,31
"ZODIACO","S. PABLO-STA. JUSTA","EXTRANJEROS",3,0,3
"ZODIACO","S. PABLO-STA. JUSTA","TOTAL POBLACION",16,18,34
