"BARRIO","DISTRITO","NACION","HOMBRES","MUJERES","TOTAL"
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","ESPAÑOLES",7600,7677,15277
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","EXTRANJEROS",1058,1137,2195
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","NO CONSTA",3,0,3
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","TOTAL POBLACION",8661,8814,17475
"AEROPUERTO VIEJO","NORTE","ESPAÑOLES",12,10,22
"AEROPUERTO VIEJO","NORTE","EXTRANJEROS",0,1,1
"AEROPUERTO VIEJO","NORTE","TOTAL POBLACION",12,11,23
"ALFALFA","CASCO ANTIGUO","ESPAÑOLES",61,57,118
"ALFALFA","CASCO ANTIGUO","EXTRANJEROS",4,9,13
"ALFALFA","CASCO ANTIGUO","TOTAL POBLACION",65,66,131
"AMATE","CERRO-AMATE","ESPAÑOLES",42,41,83
"AMATE","CERRO-AMATE","EXTRANJEROS",3,7,10
"AMATE","CERRO-AMATE","TOTAL POBLACION",45,48,93
"ARBOL GORDO","S. PABLO-STA. JUSTA","ESPAÑOLES",12,12,24
"ARBOL GORDO","S. PABLO-STA. JUSTA","TOTAL POBLACION",12,12,24
"ARENAL","CASCO ANTIGUO","ESPAÑOLES",64,45,109
"ARENAL","CASCO ANTIGUO","EXTRANJEROS",5,2,7
"ARENAL","CASCO ANTIGUO","TOTAL POBLACION",69,47,116
"AVENIDA DE LA PAZ","SUR","ESPAÑOLES",35,45,80
"AVENIDA DE LA PAZ","SUR","EXTRANJEROS",8,5,13
"AVENIDA DE LA PAZ","SUR","TOTAL POBLACION",43,50,93
"BAMI","SUR","ESPAÑOLES",45,39,84
"BAMI","SUR","EXTRANJEROS",5,11,16
"BAMI","SUR","TOTAL POBLACION",50,50,100
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","ESPAÑOLES",14,8,22
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",14,8,22
"BARRIADA PINO MONTANO","NORTE","ESPAÑOLES",318,295,613
"BARRIADA PINO MONTANO","NORTE","EXTRANJEROS",20,11,31
"BARRIADA PINO MONTANO","NORTE","TOTAL POBLACION",338,306,644
"BARRIO LEON","TRIANA","ESPAÑOLES",37,38,75
"BARRIO LEON","TRIANA","EXTRANJEROS",5,2,7
"BARRIO LEON","TRIANA","TOTAL POBLACION",42,40,82
"BEGO¿A-SANTA CATALINA","MACARENA","ESPAÑOLES",35,44,79
"BEGO¿A-SANTA CATALINA","MACARENA","EXTRANJEROS",14,10,24
"BEGO¿A-SANTA CATALINA","MACARENA","TOTAL POBLACION",49,54,103
"BELLAVISTA","BELLAVISTA-LA PALMERA","ESPAÑOLES",242,213,455
"BELLAVISTA","BELLAVISTA-LA PALMERA","EXTRANJEROS",31,32,63
"BELLAVISTA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",273,245,518
"CAMPOS DE SORIA","MACARENA","ESPAÑOLES",34,36,70
"CAMPOS DE SORIA","MACARENA","EXTRANJEROS",2,0,2
"CAMPOS DE SORIA","MACARENA","TOTAL POBLACION",36,36,72
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","ESPAÑOLES",16,10,26
