"BARRIO","DISTRITO","NACION","HOMBRES","MUJERES","TOTAL"
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","ESPAÑOLES",7312,7489,14801
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","EXTRANJEROS",1104,1277,2381
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","NO CONSTA",3,5,8
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","TOTAL POBLACION",8419,8771,17190
"AEROPUERTO VIEJO","NORTE","ESPAÑOLES",18,27,45
"AEROPUERTO VIEJO","NORTE","EXTRANJEROS",1,1,2
"AEROPUERTO VIEJO","NORTE","TOTAL POBLACION",19,28,47
"ALFALFA","CASCO ANTIGUO","ESPAÑOLES",50,50,100
"ALFALFA","CASCO ANTIGUO","EXTRANJEROS",7,7,14
"ALFALFA","CASCO ANTIGUO","TOTAL POBLACION",57,57,114
"AMATE","CERRO-AMATE","ESPAÑOLES",41,47,88
"AMATE","CERRO-AMATE","EXTRANJEROS",14,14,28
"AMATE","CERRO-AMATE","TOTAL POBLACION",55,61,116
"ARBOL GORDO","S. PABLO-STA. JUSTA","ESPAÑOLES",12,12,24
"ARBOL GORDO","S. PABLO-STA. JUSTA","EXTRANJEROS",1,0,1
"ARBOL GORDO","S. PABLO-STA. JUSTA","TOTAL POBLACION",13,12,25
"ARENAL","CASCO ANTIGUO","ESPAÑOLES",49,50,99
"ARENAL","CASCO ANTIGUO","EXTRANJEROS",0,3,3
"ARENAL","CASCO ANTIGUO","TOTAL POBLACION",49,53,102
"AVENIDA DE LA PAZ","SUR","ESPAÑOLES",28,29,57
"AVENIDA DE LA PAZ","SUR","EXTRANJEROS",7,5,12
"AVENIDA DE LA PAZ","SUR","TOTAL POBLACION",35,34,69
"BAMI","SUR","ESPAÑOLES",56,53,109
"BAMI","SUR","EXTRANJEROS",10,14,24
"BAMI","SUR","TOTAL POBLACION",66,67,133
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","ESPAÑOLES",14,13,27
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","EXTRANJEROS",2,0,2
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",16,13,29
"BARRIADA PINO MONTANO","NORTE","ESPAÑOLES",310,275,585
"BARRIADA PINO MONTANO","NORTE","EXTRANJEROS",31,33,64
"BARRIADA PINO MONTANO","NORTE","TOTAL POBLACION",341,308,649
"BARRIO LEON","TRIANA","ESPAÑOLES",39,52,91
"BARRIO LEON","TRIANA","EXTRANJEROS",1,3,4
"BARRIO LEON","TRIANA","TOTAL POBLACION",40,55,95
"BEGO¿A-SANTA CATALINA","MACARENA","ESPAÑOLES",35,36,71
"BEGO¿A-SANTA CATALINA","MACARENA","EXTRANJEROS",14,12,26
"BEGO¿A-SANTA CATALINA","MACARENA","TOTAL POBLACION",49,48,97
"BELLAVISTA","BELLAVISTA-LA PALMERA","ESPAÑOLES",240,236,476
"BELLAVISTA","BELLAVISTA-LA PALMERA","EXTRANJEROS",33,37,70
"BELLAVISTA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",273,273,546
"CAMPOS DE SORIA","MACARENA","ESPAÑOLES",32,28,60
